Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,38.25003,38.98003,38.09002,38.50002,713200,37.08285
2015-12-30,39.52,39.60006,38.39999,38.45995,1924100,37.04425
2015-12-29,39.39997,39.60006,39.11,39.21999,703700,37.77631
2015-12-28,39.62998,39.94005,39.09996,39.30004,967100,37.85341
2015-12-25,39.27,39.27,39.27,39.27,000,37.82449
2015-12-24,39.46998,39.60006,39.11,39.27,463700,37.82449
2015-12-23,38.57003,39.50001,38.52001,39.12005,1891700,37.68005
2015-12-22,39.14998,39.14998,38.45,38.70,3500500,37.27547
2015-12-21,40.09995,40.09995,38.91997,39.05004,2291800,37.61262
2015-12-18,40.21003,40.21003,38.70,38.79,5142000,37.36215
2015-12-17,39.68,40.48996,39.16002,40.14997,1675600,38.67206
2015-12-16,40.50995,40.96002,39.25002,39.52,2135200,38.06528
2015-12-15,39.80003,40.94004,39.57997,40.05997,3309500,38.58538
2015-12-14,39.55998,39.93,38.55004,39.55998,2028100,38.10379
2015-12-11,39.02,39.55998,38.61001,39.37005,2414800,37.92085
2015-12-10,39.00996,39.59001,38.84996,39.46004,1242700,38.00753
2015-12-09,39.50001,40.50,38.70,39.18995,2169600,37.74738
2015-12-08,38.82997,39.96004,38.20995,39.59001,2680500,38.13271
2015-12-07,39.85999,39.89003,38.41997,38.82997,1717700,37.40065
2015-12-04,40.14997,40.43,39.00996,39.48997,3270900,38.03635
2015-12-03,40.37998,41.23001,40.05003,40.23996,3005700,38.75874
2015-12-02,41.58999,41.58999,40.05003,40.16001,4453900,38.68173
2015-12-01,41.30996,41.67004,40.57001,41.58999,2226200,40.05907
2015-11-30,42.53002,42.85002,40.85004,41.03998,7137400,39.52931
2015-11-27,41.99999,42.80,41.01999,42.47005,1198200,40.90674
2015-11-26,42.24004,42.69996,41.51004,41.98,610800,40.43473
2015-11-25,42.24004,42.89,41.85003,42.46001,1190700,40.89707
2015-11-24,42.74998,42.99998,42.17998,42.48,1507300,40.91632
2015-11-23,42.92997,42.99998,42.30995,42.87001,948000,41.16857
2015-11-20,42.12996,43.24003,42.12996,42.92997,1510800,41.22615
2015-11-19,42.49004,42.90004,41.99999,42.12996,1191700,40.45789
2015-11-18,40.55997,42.28996,40.55997,42.10997,1829600,40.4387
2015-11-17,41.83999,41.98,40.42005,40.48002,1385400,38.87343
2015-11-16,40.44004,40.44004,40.44004,40.44004,000,38.83504
2015-11-13,40.78998,41.44003,40.28998,40.44004,1455400,38.83504
2015-11-12,41.05002,41.64001,40.50,40.76999,1897500,39.15189
2015-11-11,41.55001,42.12002,41.05002,41.19003,1103800,39.55527
2015-11-10,40.82995,41.87002,40.82995,41.76998,2358500,40.1122
2015-11-09,42.49999,42.83003,40.76999,41.78997,3271400,40.13139
2015-11-06,44.29004,44.29004,42.44002,42.55,2703900,40.86126
2015-11-05,43.51996,44.20999,43.51996,43.69001,1160900,41.95602
2015-11-04,43.24998,44.29004,43.24998,43.58997,3160700,41.85995
2015-11-03,42.96,43.54999,42.85002,43.24998,2968300,41.53345
2015-11-02,42.83998,42.83998,42.83998,42.83998,000,41.13973
2015-10-30,44.44,44.44,42.55995,42.83998,3115500,41.13973
2015-10-29,44.04005,44.83996,43.31004,44.42995,1549900,42.6666
2015-10-28,43.90003,44.28,43.28001,44.15997,2058700,42.40733
2015-10-27,44.56003,44.88998,43.21,43.74003,2147200,42.00406
2015-10-26,43.85001,45.24001,43.74003,44.49002,2722500,42.72428
2015-10-23,44.83001,44.99996,43.56004,44.31997,4125600,42.56098
2015-10-22,45.24996,45.84999,44.26001,44.83001,3925900,43.05078
2015-10-21,45.79997,46.31001,44.51001,45.33001,4197600,43.53093
2015-10-20,44.40003,45.40002,44.40003,45.33995,2871600,43.54048
2015-10-19,44.51001,45.33995,44.33002,45.15002,1534400,43.35809
2015-10-16,44.79998,44.94,44.42002,44.74996,2165100,42.97391
2015-10-15,45.24001,45.40002,44.19995,44.54999,1476500,42.78187
2015-10-14,44.60,45.22003,44.03,44.99996,2363200,43.21398
2015-10-13,44.47998,44.92995,44.10001,44.67995,2096700,42.90668
2015-10-12,44.99996,45.11004,44.13004,44.58002,2480700,42.81071
2015-10-09,43.13999,45.10,43.01997,44.99996,7200600,43.21398
2015-10-08,41.76004,43.40998,41.71002,43.01997,4492200,41.31257
2015-10-07,42.30001,42.49999,41.69997,41.76004,6529300,40.10265
2015-10-06,42.12996,42.49999,41.99999,42.15999,1842600,40.48673
2015-10-05,41.99999,42.49999,41.99999,42.26997,1473400,40.59234
2015-10-02,41.82,41.98,41.07995,41.85997,1530100,40.19862
2015-10-01,41.51998,42.05995,41.42005,41.99005,2654200,40.32353
2015-09-30,41.19998,41.90005,41.19998,41.51004,2322000,39.86257
2015-09-29,40.55997,41.62002,40.55002,40.89996,1522900,39.27671
2015-09-28,41.25,42.39,40.16001,40.94998,2078100,39.32474
2015-09-25,40.64996,42.60002,40.64996,41.80001,1781900,40.14103
2015-09-24,41.00,41.21002,40.50,40.92999,1847400,39.30555
2015-09-23,41.12997,41.51004,40.89996,41.37002,2021900,39.72811
2015-09-22,41.60003,41.60003,40.64996,41.23001,2421200,39.59366
2015-09-21,42.05995,42.49999,41.60998,41.80001,1703500,40.14103
2015-09-18,42.05001,42.87995,41.99999,42.51997,6293800,40.83242
2015-09-17,42.69996,42.94002,41.69997,42.58004,3092800,40.8901
2015-09-16,42.35003,42.35003,42.35003,42.35003,000,40.66922
2015-09-15,42.60002,42.73,41.94003,42.35003,1205500,40.66922
2015-09-14,41.55001,42.14995,41.53003,41.87002,1247900,40.20827
2015-09-11,42.48,42.48,41.53997,41.82,2047400,40.16023
2015-09-10,41.99999,42.69002,41.98,42.49004,1371900,40.80368
2015-09-09,41.96996,42.49004,41.96996,42.14995,1390700,40.47708
2015-09-08,41.60003,42.14001,41.55001,41.98,2501300,40.31388
2015-09-07,41.71996,41.85003,41.12997,41.49005,599200,39.84338
2015-09-04,41.96996,42.12002,41.62002,41.96001,2205300,40.29469
2015-09-03,41.76004,42.44002,41.23995,41.99005,2141600,40.32353
2015-09-02,41.99999,42.37002,41.01004,41.58999,1797600,39.93935
2015-09-01,42.69002,42.99004,41.33999,41.62002,2752500,39.96819
2015-08-31,42.21001,42.99998,41.49999,42.92003,3809200,41.2166
2015-08-28,41.60998,42.87001,41.60998,42.33004,6699800,40.65003
2015-08-27,40.96997,42.48,40.80002,42.39994,4720800,40.71716
2015-08-26,42.24999,42.24999,39.59001,40.62997,5012800,39.01744
2015-08-25,41.99005,42.49999,41.03003,41.23001,2757400,39.59366
2015-08-24,40.50,41.37997,37.57004,40.89996,8744700,39.27671
2015-08-21,43.10002,43.12,41.51998,41.82,3109000,40.03719
2015-08-20,43.94001,43.99997,43.10002,43.33003,2075400,41.48285
2015-08-19,44.99002,44.99002,43.38999,43.92002,2805700,42.04769
2015-08-18,44.01996,44.51001,43.71,44.31003,2333300,42.42107
2015-08-17,45.04004,45.04004,44.04999,44.26001,1616300,42.37319
2015-08-14,45.08001,45.13003,44.31003,44.51001,1051100,42.61253
2015-08-13,44.99996,45.47997,44.85,45.08001,3437900,43.15823
2015-08-12,45.45998,45.47002,44.31997,44.85,2921700,42.93802
2015-08-11,46.00005,46.09999,45.27005,45.49001,2479000,43.55075
2015-08-10,46.00999,46.93998,45.61004,46.18004,3281300,44.21136
2015-08-07,46.47002,46.70002,46.31001,46.45003,1192600,44.46984
2015-08-06,46.52003,46.77997,46.00005,46.45003,1421200,44.46984
2015-08-05,47.02997,47.04996,45.65996,46.15001,2609200,44.18261
2015-08-04,46.90,47.75003,46.63002,46.84998,2008800,44.85274
2015-08-03,46.70002,47.50004,46.50999,47.16999,1808900,45.15911
2015-07-31,47.27997,47.40,46.90,47.18998,2112900,45.17824
